timestamp,time_bucket_5min,link_id,road_name,road_category,speed_band,min_speed,max_speed
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,28858,TUAS AVENUE 8,4,6,50,59,1.328679,103.648843,1.32852,103.648694
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29013,TUAS AVENUE 8,4,6,50,59,1.328837,103.64899,1.328722,103.648883
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29027,TUAS AVENUE 8,4,1,0,9,1.327083,103.647342,1.327116,103.64731
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29139,TUAS AVENUE 8,4,4,30,39,1.331566,103.651496,1.331902,103.651813
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29216,TUAS AVENUE 8,4,5,40,49,1.329387,103.649507,1.329149,103.649286
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29217,TUAS AVENUE 8,4,1,0,9,1.329181,103.649253,1.329418,103.649474
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29238,TUAS AVENUE 8,4,5,40,49,1.329149,103.649286,1.329067,103.649207
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29264,TUAS AVENUE 8,4,5,40,49,1.329067,103.649207,1.328837,103.64899
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29265,TUAS AVENUE 8,4,2,10,19,1.328387,103.648506,1.328553,103.64866
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29266,TUAS AVENUE 8,4,4,30,39,1.327916,103.648065,1.328069,103.648207
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29387,TUAS AVENUE 8,4,4,30,39,1.328871,103.64896,1.329097,103.649173
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29493,TUAS AVENUE 8,4,3,20,29,1.331136,103.651092,1.331566,103.651496
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29597,TUAS AVENUE 8,4,4,30,39,1.332426,103.652301,1.332731,103.652594
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,29612,TUAS AVENUE 8,4,4,30,39,1.327116,103.64731,1.327285,103.647469
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,30025,TUAS AVENUE 8,4,5,40,49,1.327083,103.647342,1.326959,103.647224
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,166237,TUAS AVENUE 8,4,4,30,39,1.324851,103.645181,1.325418,103.645713
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,166238,TUAS AVENUE 8,4,2,10,19,1.324809,103.6452,1.324686,103.645051
2026-09-14_22-05-14,2026-09-14_22-05-00,2702,206237,CAUSEWAY,4,1,0,9,1.444504,103.767372,1.444525,103.767411
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,211436,TUAS SECOND CROSSING,4,6,50,59,1.350474,103.633506,1.350501,103.63347
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,211495,TUAS SECOND CROSSING,4,0,,,1.350707,103.633249,1.350543,103.633466
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,212074,TUAS SECOND CROSSING,4,8,70,999,1.349788,103.634429,1.350474,103.633506
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,212076,TUAS SECOND CROSSING,4,0,,,1.352164,103.631302,1.351516,103.632166
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,212168,TUAS SECOND CROSSING,4,1,0,9,1.349906,103.634959,1.349761,103.634465
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,212170,TUAS SECOND CROSSING,4,1,0,9,1.350673,103.635352,1.349906,103.634959
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,212331,TUAS SECOND CROSSING,4,0,,,1.351516,103.632166,1.350707,103.633249
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,214360,TUAS SECOND CROSSING,4,3,20,29,1.348329,103.63446,1.349667,103.634588
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,214361,TUAS SECOND CROSSING,4,5,40,49,1.349667,103.634588,1.349761,103.634465
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,214363,TUAS SECOND CROSSING,4,1,0,9,1.349667,103.635596,1.349906,103.634959
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,214385,TUAS SECOND CROSSING,4,0,,,1.350543,103.633466,1.350516,103.633503
2026-09-14_22-05-14,2026-09-14_22-05-00,4703,214397,TUAS SECOND CROSSING,4,3,20,29,1.349626,103.63467,1.349591,103.634704
2026-09-14_22-05-14,2026-09-14_22-05-00,2701,214404,WOODLANDS CAUSEWAY,2,7,60,69,1.449656,103.770106,1.451009,103.7697
2026-09-14_22-05-14,2026-09-14_22-05-00,2701,214458,WOODLANDS CAUSEWAY,2,6,50,59,1.449612,103.770117,1.449656,103.770106
